"species";"result";"ViltID";"Ankomstdatum";"coords.x1";"coords.x2"
"Gräsand";"0";"VLT 455/18";"2018-03-14";"12.9645854305519";"55.608442275313"
"Havsörn";"0";"VLT 632/18";"2018-03-28";"11.9599133558978";"58.5201094091126"
"Stadsduva";"0";"VLT 623/18, 1";"2018-03-28";"13.029882172707";"55.5829816964667"
"Lappuggla";"0";"VLT 791/18";"2018-04-18";"14.6602680502144";"61.1598809946381"
"Havsörn";"0";"VLT 842/18";"2018-04-24";"12.9293495824413";"55.5970976271388"
"Ormvråk";"0";"VLT 900/18";"2018-05-03";"13.1401385491622";"56.1563432312851"
"Brun kärrhök";"0";"VLT 1388/18";"2018-07-19";"14.2623484627676";"56.0037444330944"
"Slaguggla";"0";"VLT 1611/18";"2018-08-30";"16.9957666536069";"60.4012498681355"
"Slaguggla";"0";"VLT 1613/18";"2018-08-30";"16.2951415331194";"60.5360731281582"
"Stadsduva";"0";"VLT 2374/18";"2018-11-20";"13.4140693640683";"57.7911189757141"
"Havsörn";"0";"VLT 2552/18";"2018-12-07";"16.2200061202314";"66.3099996072635"
"Havsörn";"0";"VLT 2627/18";"2018-12-19";"16.6337914245162";"58.7276866786644"
"Gråsiska";"0";"VLT 71/19";"2019-01-22";"17.6323013340352";"59.7880862904448"
"Kattuggla";"0";"VLT 259/19";"2019-02-05";"15.4298202975018";"56.3363607276333"
"Havsörn";"0";"VLT 430/19";"2019-03-06";"19.5024466700294";"63.5711267376198"
"Havsörn";"0";"VLT 505/19";"2019-03-12";"15.9757532540311";"57.2253514138762"
"Kaja";"0";"VLT 593/19";"2019-03-21";"17.6345960902611";"59.8625368763915"
"Havsörn";"0";"VLT 714/19";"2019-04-11";"17.6097102490223";"60.2856153479847"
"Ormvråk";"0";"VLT 762/19";"2019-04-24";"18.6965047846955";"63.2958544090333"
"Kungsörn";"0";"VLT 761/19";"2019-04-24";"17.8297465945794";"63.1672071771812"
"Havsörn";"0";"VLT 912";"2019-05-16";"17.2680374745767";"59.4403149686872"
"Havsörn";"0";"VLT 1853/17";"2017-06-30";"20.2005082743252";"67.8673799049082"
